10 hral|torn.
192 dka' bcu|SANST ten ascetical hardships; a Buddhist scholar who has acquired such great proficiency in sacred literature as to be able to interpret the meanings of a term in ten different ways.
192 dkyil 'khor can|SANST anything that has a circular and mystical figure on it; also any Tantrik deity placed to be worshipped on the plane of his fancied celestial mansion traced on the ground.
192 dmigs gsal|or {dmigs kyi gsal} clear to the mind: {sger du byed 'os kyi dmigs gsal byung na ma gtogs} unless it is clear that the work should be done privately or confidentially (D. Shel. 12).
192 'dor byed|SANST 1. one who forsakes or abandons. 2. met. blood. 3. SANST; {spyi zhur gyi shing} the spyi-shur plant of Tibet (Moon.). [the tree Terminalia tomentosa, or Marsilea quadrifolia]S.
192 dor ma|breeches, trowsers; {dor thung} short breeches; {dor ring} long drawers; {snam dor} breeches made of thick serge cloth; {dor rta} that part of the breeches which covers the privy parts.
192 gnya' rengs|stiff-necked, obstinate: {ngan pa gnya' rengs ser smug gtam 'di nyon} (Rdsa. 28) Ser-smug, thou obstinate wretch, listen to this my word. {gnya' rengs can} stiff-necked, obstinate.
192 grung po|I: (duo-po) = {grung ba}, {skyang po}, {rig pa grims pa} 1. very intelligent; SANST clever; wise; prudent. 2. meek; mild; gentle (Cs.).\n\nII: the corn seed that is not rotten (Jig.).
192 'jam mgon bla ma|an address of politeness to the hierarchs of the Sakya school.\n\n(EEE The original gives the transliteration of the headword as "hjam-mgon bla-ma" which is clearly in error.)
192 ka ma rtsi|‡ SANST a kind of medicinal plant: {ka ma tsi'i rtsa ba spyi bor blang na gnyid du 'gyur/} "if the root of ka-ma-tsi be placed on the top of the head, sleep arises" (K. g. {ca} 56).
192 ke sha|SANST hair; mane; {yi ge ke sha can} letters which are surmounted with double e{_au} sign called hgreo-bu or o{_au} sign called naro. Signs for long accentuation are also called ke-sha.
192 kun dga' ra ba|= {gling dga'} SANST a grove; any pleasure-grove containing groups of trees, flower beds, artificial lakes, garden houses, shady walks, &c., often surrounded by a wall or fence.
192 las kyi mtha'|SANST completion of a work, efficiency; {de ltar bzo dang las kyi mtha'i brtan bcos la mkhas pa} and so he was versed in works treating of technical arts and agriculture (A. 37).
192 lha mo dung gi nu zho can|an officinal herb growing in the clefts of rocks and with leaves resembling those of the bamboo and yielding milky juice after incision; is used in ulcers and wounds.
192 longs|imp. of {long ba}: rise up, awake, get up! {nang nas longs shog} let him come out from in side or from his house; {da lta longs la lam du bzhugs} now get up and wait in the way (A. 129).
192 ltong ga|1. notch, incision, indentation; {mda' stong} the notch in an arrow. 2. a depression; {ri ltong} depression in a ridge of mountains; {la ltong} the indentation of mountain-pass (Jä.).
192 mdom|or {mdoms} sometimes written for {'dom} a measure ({'jal byed}) equal to six feet [SANST a fathom or the space between the tips of the fingers of either hand when the arms are extended]S.
192 nang 'khor|domestic attendants and officers, such as {gsol dpon}, {gzim dpon}, etc.: {nang 'khor ba la yang gsung mi gtong ba} he does not even say anything to his domestic attendants (A. 95).
192 phyag phyi|= {zhabs phyi} attendant, man-servant; {phyag phyi byed pa} to be a servant. {phyag phyi la}or {phyag phyir 'breng ba} to be a follower (of a lama); train of servant, retinue (Jä.).
192 ral lcang|a weeping willow-tree, but according to Jä. a particular willow planted at the birth of a child and under which a lock of the child's hair is buried when it is seven years old in Ld.
192 rdog pa|any action with the foot, but chiefly a footstep; a stride or pace: {rdog pa 'bor ba} to step, to pace, to walk (Cs.); {rdog pa rgyab pa} to stamp on the ground with the feet, to kick.
192 rdos pa|1. adj. swollen, bloated, like to burst: {lus rdos che ba} very corpulent body. 2. vb. n. to break, burst, flow out: {lbu ba rdos pa} the bursting of a bubble. {dbugs rdos pa} to pant.
192 rtsa ba'i sde|the four earliest divisions in the Buddhist society: (1) {thams cad yod par smra ba} SANST; (2) {phal chen sde ba} SANST; (3) {mang pos bkur ba} SANST; (4) {gnas brtan pa} SANST.
192 sger don|one's own interest, private or special reason or object: {sger gzhung med du ba gnam btang} neither private nor public (but an independent family) sending forth smoke from house-fire.
192 spyan drug|acc. to the Bon there are six glances or visions, viz.: {bon gyi spyan}; {ye shes kyi spyan}; {rig pa'i spyan}; {thugs rje'i spyan}; {sprul pa'i spyan}; {shes rab kyi spyan} (D.R.).
192 srid sgrub|SANST, SANST 1. white. 2. n. of a celebrated mathematician who lived during Buddha Gautama's time (K. d. {kha}, 113), [the astrologer Arjuna was the Buddha's mathematical teacher]S.
192 tA la'i phreng ba|n. of a fabulous mountain situated five thousand yojana beyond the southern ocean. {tA la'i phreng ba zhes bya ba'i ri ring du dpag tshad stong phrag lnga/} (K. d. {ra} 275).
192 tshangs 'khor|SANST the second of the first Dhyana heavens v. {bsam gtan dang po} (M.V.).\n\n(EEE {bsam gtan dang po} does not occur as a headword in the dictionary but see under {bsam gtan}.)
192 tshis|1. acc. Jä.: prob. secondary form of {rtsis}. 2. = {so nam gyi las} work of husbandry. 3. {tshis su} = {grogs su} in friendship: {thams cad nas khyed kyi tshis su ci 'gro byed} (A. 133).
192 zla gam|1. SANST semi-circular; semi-circular disk, the appearance of the eighth phase of the moon. 2. the cloak which the monk of the Gelug-pa sect wears at a religious service only (Rtsii.).
193 ban glang|+\n= {ba glang} ox, bull.\n\n(EEE the original has {ban klang} in the Tibetan and ban glang for the transliteration. The transliterations is correct so the headword has been changed.)
193 dran ma|the mind, memory: {dran ma bzang} good memory; {dran las} SANST from memory, from consciousness; conscious state; {dran had kyi zin pa} sudden recollection; remembering all on a sudden.
193 'dud pa|pf. and fut. {btud} SANST to bend, to make a bow; {zhabs la 'dud pa} to bow at a person's feet (Oag. 39); {rna ba 'dud} to incline one's ears to hear; {rab tu 'dud pa} SANST salutation.
193 gling log|revolution; internal dissension: {der 'bri khung pa la gling log chen po byung} there arose much civil disturbance there in Dikhuo, i.e., among the members of the Hbri-khuo monastery.
193 'gog byed|SANST discipline, and from {'gog pa}, there arise 1. {zhi ba} SANST peace; 2. {gya nom pa} = {phun sum tshogs pa} SANST perfected state. 3. {nges par 'byung ba} SANST firm conviction.
193 grva tshang|(ta-tshao) SANST school where monks are instructed in sacred literature; a section in a great monastery, where the monks belonging to one particular school of studies live together.
193 gtib pa|or {gtibs pa} to be gathering (of clouds); {sprin phung gtib pa} thick clouds gathering; {bdug spos sprin bzhin gtib} incense passes along like clouds; {mun pa gtib} darkness envelopes.
193 gtum mo|SANST, SANST, SANST, SANST 1. a fierce or violent woman, a female of the Candala tribe, etc. 2. as an adj. violent, fearful; {rlung gtum mo} a violent wind, a hurricane. 3. mystic heat.
193 g.yem pa|or {log g.yem} 1. = {'dod log} or {'dod pa log par g.yem pa} fornication, incest, adultery. {g.yem byed pa} to commit adultery, fornication. 2. SANST false dealings, acting wrongfully.
193 ka re|probably {ga re}. The use of the latter is very common in Eastern Tibet. In Sikkim they say {ka te}, what? which? {au pa shi ka khyod ka re dga'} Upasaka, in what do you delight? (A. 94).
193 kha sbyar|or {kha sbyar ba} the mouth of a vessel or box closed or shut up: {zangs chen kha sbyar rin chen sil mas bkang} a covered copper vessel filled with precious things, etc. (G. kah. 77).
193 lca ba|1. a sort of carrot (Cs.) 2. SANST a garment made for wool or felt: {lca bas chu ser mkhal rked grang ba sel/} felt cures watery discharges, kidney disease, and cold in the loins (Med.).
193 ldug pa|or {ldugs}, pf. {ldugs} or {blugs} (usual form), fut. {blug}, imp. {blug} or {blugs}, col. {blug pa}: to pour out or into, to sprinkle, to strew; to cast, to found (metal), cf. {blugs}.
193 lon|1. news, tidings, message: {lon bzang} good news, {lon spring} to give notice, send word, send a message; {lon skyur ba} to give a reply; {lon zhig khyer la shog} let me know, send me word.
193 lums|({sman dpyad}) a bath used as a medical cure; {chu tshan gyi lums} a hot-bath; {bdud rtsi lnga lums} a bath in which the infusion of plants is used five; {brtsings pa'i lums} fomentations.
193 mtshog ma|or {mtshag gseng} 1. the hair of the head, only for a length of three inches from the root. 2. = {tshangs pa'i bu ga} 'spot or tender part of the head,' vacancy in the infant cranium.
193 mu rug btsan po|one of the sons of the king {srong btsan sgam po} (Loo. {'a}, 8).\n\n(EEE The original gives the transliteration of the headword as "mu-rug htsan-po" which is clearly in error.)
193 nam mkha'i gos can|+\n= {smad tshong ma} a harlot; SANST a celestial courtezan.\n\n(EEE The original gives the transliteration of the headword as "nam-mkahi gos-can" which is clearly in error.)
193 na tshod gnas pa|lang tsho dar ba SANST a youth (Moon.) [a youthful maiden]S. {na tshod yol} passed youth, one whose youth is over; but acc. to Rtsii. an old man between 60 and 72 years of age.
193 ngar ngar po|hoarse, husky, wheezing, e.g., in old age (Thgy.); {ngar glud} hoarseness and phlegm (Med.); {gre ba ngar ba} a hoarse throat (Med.; Jä.); {ngar ngar 'khun sgra} a hoarse groaning.
193 'phan po|or {'phan yul} ({lha sa'i nye 'dab phyogs su yod pa'i yul zhig}) n. of the nearest alpine valley north of Lhasa. {'phan yul grab dkar} one of the thirty holy places of Bon (G. Bon. 4).
193 pho log|SANST a disease of the stomach resembling cholera if not cholera itself [spasmodic cholera]S.: {lo tsA ba bal por pho log gis shi ste} the lo-tsawa having died of cholera in Nepal (A.).
193 'phrul snang|delusion, mockery; miraculous; n. of the famous temple of Buddha at Lhasa built by king {srong btsan sgam po} at the instance of his Nepalese wife, the daughter of king Amsuvarman.
193 rdog tsam rdog tsam|only a little bit: {spu gris rna ba dang mjug ma'i rtse rdog tsam rdog tsam bcad} with razor cut just a little of the hair of the ear and from the tip of the tail (Rdsa. 3).
193 rdo rje gdan bzhi'i rgyud|a Tantra treating of the twelve signs of the zodiac, of the symbolic hand gestures ({lag brda ston pa}), of the Khadoma, of the use of rosaries, etc. (K. g. {nga} 57).
193 rlangs pa|SANST vapour, steam; exhalations; {kha rlangs} breath, vapour from the mouth; {chu rlangs} steam, watery, vapour; {rlangs chu 'don pa} to distill. {rlangs 'phyad pa byed pa} to steam.
193 sgrub 'chag|building or making and dismantling or destroying; the term is defined in {gsar ba sgrub rgyu dang rnying pa nas mar 'chag rgyu} constructing a new one and breaking down the old one.
193 spyi sde bzhi|the four sects among the Bons: (1) {bka' lung ldan bshad kyi sde}, (2) {brag dgon dka' thub sde}, (3) {dur khrod nyan thos bog bu'i sde}, (4) {shing drung ma rig pa'i sde} (D.R.).
193 spyom pa|= {smod pa} slander, also vb. with pf. {spyoms} to boast, to exhibit with ostentation; sbst. {spyoms} self-praise, boasting (Jä.); {spyoms dang bcas ma bya'o} you must not be boastful.
193 srus|unripe ears of wheat, etc., unripe grains of Indian corn, wheat &c. {'bras kyi srus} an unripe shelled grain of rice.\n\nSyn. {so ma}; {ma nyams pa}; {rma med}; {byis pa zad byed} (Moon.).
193 thag 'gyangs|= {thag ring} distant, remote; also late. {sa gzhi thag 'gyangs kyi nad pa yun song gal che'i rigs} important cases of long-suffering patients coming from a distance (D. Shel. 11).
193 tshad ma sde bdun|title of the work on logic by Acharya Dharmakirti {slob dpon chos kyi grags pas mdzad pa'i tshad ma sde bdun dang} the seven classes of Pramana by Acharya Dharmakirti (A. 33).
193 tshe mchog gling|n. of a palace with a monastery and park situated on the southern bank of the river Kyi-chu near Lhasa, the residence of one of the four incarnate lamas of Lhasa (S. kar. 180).
193 tshong khang|= goods-store, magazine, shop.\n\nSyn. {tshong khyim}; {ded dpon khang pa}; {nor bu'i mdzod}; {rgya mtsho'i khyim}; {rlung yor can}; {tshong zong ra ba}; {zong 'grem gnas} (Moon.).
193 zhi ba 'od|n. of a Bon deity; {zhi ba 'od kyi zhing khams} a fancied world of the Bon situated to the east of this world; {zhi ba 'od ma 'jas skya} another such world further east of it (D.R.).
194 bkal thags|a kind of stuff made of coarse goat-hair about nine inches in width: {ra spu nyag lnga re la bkal thags byas par/} with every five pounds of goat's hair to weave one blanket (Rtsii.).
194 blon|+\nLex. = {gros} advice, counsel: {blon 'debs pa} or {'bebs pa} = {chos ston nam gros 'debs pa} to give advice, to counsel; to give religious instructions; acc. to Cs. to make arrangements.
194 brlams pa|= {bskyod pa}, tremulous, trembling; {'byung pos brloms} quivering with a demon, described as {mi'i khog pa la gdon zhugs pa} the occupation of one's body by an evil spirit (Situ. 76).
194 brta ba|+\nfut. {rgyas par bya ba} pf. {brtas pa} to grow wide, expand; be copious, abundant. {brtas byed pa} id.; {'gyod pa bas} big with repentance; {bag chags brtas pa} inflated with passion.
194 bsnos|= {'dres pa}, {brdzis pa} and is illustrated thus: {sman thams cad 'dres po 'dres por spag ltar bsnos} as all medicines are beaten together and thoroughly commingled in a paste (Situ. 76).
194 bsran pa|v. {sran pa}. {bzod bsran pa} = {bzod pa bsgom pa} to meditate on the virtue of forbearance; {sdug bsran che} very patient in troubles. {sems kyis bsran to} endured mentally (Situ. 76).
194 btsab pa|pf. {btsabs} to cut small, to chop, to mince, in C.; {btsab stan} chopping block C.; {zhib por btsab pa} to pulverate, to reduce to powder; {rus pa btsabs} pounded the bones (Situ. 56).
194 bud med sbrum ma|SANST a pregnant woman.\n\nSyn. {phru gu chags}; {mngal ldan ma}; {sems can zhugs}; {srog chags ldan}; {lus lcim}; {lus mi bde}; {mngal chags ma}; {glang mo'i 'gros ma} (Moon.).
194 bzhur ba|1. to strain, filter: {mar khu bzhur to} he strained the melted butter (Situ. 76); {thug pa bzhur nas bzhes} take the broth after straining it (Oag. 76). 2. = {gzhur ba} and {bzhar ba}.
194 chags par gyur pa|SANST lovely, fascinating, charming.\n\n(EEE The original gives the transliteration of the headword as "chags-par hgyur-pa" which would make the headword {chags par 'gyur pa}.)
194 dbu ru|or {dbus ru} the district of Lhasa: {dbu ru g.yu ru'i bar gyi ri rgyud 'di tsam gda'} about so much regarding the mountain chains situated between the districts of U-ru and Yu-ru (A. 47).
194 dun pa|(for {bdun pa}) great diligence, assiduity; {'dun pa drag po} very diligent; in W. (cf. {'dun pa} and {rtun pa}).\n\n(EEE The original has "and {rtun}).", but {rtun pa} is clearly meant.)
194 gam 'brog|a dairy in the neighbourhood of one's residence. {gam 'brog rgyang 'brog bzang ba rtsa yi dge_/}. Near and distant dairy farms become thriving through the abundance of pastures (Jig.).
194 ga na|gang na SANST where? {ga na ba} and {gang na ba}, the same as a sbst., the whereabouts of a person, his place of residence: {rgyal po ga na bar der song /} he went here where the king was.
194 gon pa|({gyon pa}) to put on clothes, shoes, etc.; {gon pa 'dra ba re re} the cost of a set of anything to wear (Rtsii.); {mgo la zhva gon pa} to put a cap on the head. 2. coat, clothing (Sch.).
194 gra sdebs|proper order, arrangement; also {mi mang kha sdebs} uniform deposition: {mdun dang log g.yas g.yon gyi gra sdebs} the arrangement in the front and of the right and left sides (Rtsii.).
194 gsung glegs|= {bka' shog} diploma, written authority: {gsung glegs gnang rten bcas stsal ba bka' drin che} it is very gracious of you to have sent the communication with enclosures (Yig. k. 18).
194 kun tu 'gyed pa|SANST to be diffused; that which goes in every direction: {sprul pa dang pho nya} spiritual emanations; envoys: {'od zer sogs kun tu 'gyed} rays of light went in every direction.
194 kyog po|SANST crooked; {kyog por} crookedly, not straight: {ri dvags byings rnams mgrin pa kyogs te bros song /} (Pag. 133) the wild animals that conceal themselves bending their necks ran away.
194 lag ldan|SANST, SANST having a hand or trunk, hence as met. = elephant; {lag ldan ma} = {glang mo} she-elephant (Moon.). {lag ldan ra ba} elephant stable, place where elephants are kept (Moon.).
194 mnga'|resp. for {dbang} might, dominion, sway, power; {mnga' mdzad pa} to govern, to rule; {mnga' brnyes pa} to obtain power; {mnga' sgyur ba} to have mastered a thing; to understand thoroughly.
194 ngan spong skyes|= {dga' byed dgra sta can} or {ngan spong bu} Parasu Rama; {rdul can ma'i bu} the son of Rdul-can-ma (Moon.); an epithet of Sukra and also of the planet Venus ({gza' pa sangs}).
194 nyer tshad|SANST, SANST, SANST personal danger (Moon.). {nyer tshad med} = {nad med pa} or {'byung bzhi snyoms} without danger to health (Moon.).\n\n{nyer tshad} = {sku 'dra}, v. {nye bar mjal}.
194 nyin mo|SANST, SANST, SANST, SANST the day; the time lighted or illuminated by the sun. {'di na mdangs 'bar dang}, {gsal bar snang dang snang ldan dang}, {mun sel padma bzhad pa'i dus} (Rtsii.).
194 phung pa|= {brlag pa} spoilt, blown out, destroyed, lost, etc. {phung krol} = {'thab krol} [SANST useless]S.; also = {nyes pa mang po'i rtsa ba} SANST the cause or root of many evils and faults.
194 rag pa|1. vb. W. for {reg pa} to touch, feel, and in a more generalized sense = {'tshhor ba} to perceive, to scent, taste, hear, see. 2. adj. dark-russet, brownish, of horses, rocks, etc. (Jä.).
194 rdog 'gril ba|= {ha cang zhib rtsis byed pa} to enumerate exactly, scrutinize carefully; formed into minute grain: {nyung dkar las rdog 'gril ba} even more-fully grained than white mustard seed.
194 rgya ba|= {phan pa}, {bsam pa 'bad pa} to be useful and of service; to exert one's self: {sangs rgyas kyi bstan pa la rgya ba yin pas} (A. 133) he was of great service to the religion of Buddha.
194 rta rdzi|or {rta 'tsho mkhan}, one that tends horses; a groom. {rnal 'byor pa gong 'og 'di kun yang rta rdzi dang} also all the ascetics mentioned above and below with the horse-minder (A. 119).
194 sa dmar|red earth; {sa dmar 'bong} n. of small monastery called "Simon-bong" in the neighbourhood of Darjeeling situated on a mountain-slope which consists of red coloured soil (Hook. I.) (Jä.).
194 sangs rgyas pa|1. to attain to Nirvana. 2. SANST Buddhist, one believing or practising the religion of Buddha; {sangs rgyas pa'i grub mtha'} the religious doctrines of the Buddhists (Situ. 117).
194 sbon pa|+\n= {za ba} to eat.\n\n(EEE The headword in the original is {spon pa}, with the transliteration "sbon-pa". The transliteration is correct and the headword has been revised accordingly.)
194 sgab pa|1. secondary form of {'gebs pa}, to cover; covering: {bya mas bu la sgab pa} the covering of a young bird by its mother. 2. {gos sgab} skirt or lap of a coat; {sgab thung} a short skirt.
194 snum zan ma|one who eats dainty dishes; a glutton: {khyod la'ang gces phrug snum zan ma'i bags}({nyams}){shig yod} (may be) you have some petted child with the disposition of a glutton (A. 127).
194 snying nye ba|1. = {mdza' bo}, or {nye bo}, friendly, amicable, loving. affectionate. Figurative expression for it is {yid kyi ze'u 'bru} (Yig. k. 1). 2. dear and near relatives. 3. SANST money.
194 ti|1. represents num. fig. 39. 2. not originally Tibetan, designating water; has found its way into Ld. in {kha ti} saliva (water of the mouth) and {sna ti} water from the nose. 3. v. {spyi} Jä.
194 zhan|or {zhan pa} weak, feeble, the opp. to {drag po}. {khams zhan pa} of a weak body, of delicate health; also applied to sounds. In colloq. is used as opp. to {legs pa} well-looking, handsome.
195 bcing ba|1. bcio-ba and {bcings pa} are parts of {'ching ba} SANST, to bind. 2. sbst. bond, fetters (whether of a material, moral or magical nature); {zhags pas bcings} tied with rope (Situ. 75).
195 bcol bzhog pa|to entrust a thing to another's charge; {bcol gtam byed bzhag pa/} to settle about the trust; to entrust a thing to a person's charge (with an understanding): {bcol ltogs} = {byus}.
195 bka' chems|= {zhal chems} resp. for {kha chems} a great man's last will; a royal testament or will: {bka' chems ka khol ma zer sogs las/} in the work called Bkah-chems ka-khol-ma, etc. (J. Zao.).
195 brla|SANST the thigh: {brla sha} SANST, SANST muscular part of the thigh; {brla skyes} born of the (Brahma's) thigh, = {rje rigs}; {brla byung} (Moon.) the Vaisya or the gentleman caste of India.
195 de'u ra|(vulg.) {cung zad} 1. a little, almost: {nga de'u ra min na thog kha nas lhung ba yod} were it not for a little, I had fallen down from the roof. 2. acc. to Jä. one day, some future time.
195 grva sa|(ta-sa) a monastery; {grva sa chen po} (ta-sa chen-po) great departmental school attached to large monastery; {mtshan nyid grva sa zhig} a school where the Buddhist metaphysics is taught.
195 gtag pa|any species of white flowering rhododendron, all of which kind are held by Tibetans to be of the male sex. {gtag ma} red-flowering rhododendrons, which are considered to be female shrubs.
195 hu ru ru|has been explained as {mig hrig hrig lta ba} to stare at with the eyes fixed and not revolving (A. 136). {mig hu re 'dug} he stares, he gazes with wonder, horror, confusion (Mil., Glr.).
195 i|1. beer, = {chang} in C. 2. vulg. pronunc. of {dbyi} the lynx. 3. num.: 60. 4. in Budh.: {i ni mthong ba med pa'i sgo/} i is the invisible entity or it is symbolic of the same (K. g. {wa}, 43).
195 'jib rtse chen po|n. of a medicinal plant; it is said of it: {kha yi nad dang so dang mchin pa'i tshad pa sel bar byed} if cures inflammation of the liver and the teeth and diseases of the mouth.
195 kan na+ya kub dza|‡ (lit. the daughter of the hunchback) SANST, also written {kar na+ya'i yul}, a city in Ancient India, the capital of which was Kanya-kubja, the modern Kanouj (K. du. {da} 131).
195 khal ban|jug or pitcher to hold wine for 20 persons or a quantity measuring 20 {bre}: {dmangs chang khal ban re gang rigs} jugs of ale each sufficient for 20 of the vulgar folk of whatever class.
195 lhums|resp. for {mngal} SANST the womb: {lhums su 'jug pa} to enter the womb, conception; {lhums su zhugs pa'i dus mchod} religious festival to commemorate the time of the conception (of Buddha).
195 li thang|n. of a city and province in easternmost Tibet bordering China, where there is a large Buddhist monastery noted for containing blocks of the one hundred and eight volumes of the Kahgyur.
195 ljan ljin|SANST defilement, filth, dirt, dust, sweepings: {bag chags dri ma ljan ljin khrus kyis bkru ba'i phyir} for washing off by consecrated water the defilement and the mucus of lust (D.R.).
195 lug pa|I: 1. or {lug rdzi} sbst. shepherd, keeper of sheep. 2. to huddle heads together like timid sheep, to be sheepish in behaviour (Jä.).\n\n(EEE No definition II is provided in the original.)
195 ne le|1. SANST a species of harrier-hawk, prob. Circus melanoleucus which occurs in Tibet. Syn. {'ol ba} (Moon.). But in one author is stated to be equivalent to {bing kyur ma} the kite (Rtsii.).
195 ngang ring|or {ngang rgyud ring ba} forbearing; long-suffering; of cool nature: {don chen grub pa ngang ring /_byed dgos/} in accomplishing important business one should work with great patience.
195 nyag skyag|= {kho na} in Sikk. dialect: {gnang chang skyal chog pa zhig nyag skyag btang dgos} should only press the application to be permitted to send the Nao-chao (proposal-wine for marriage).
195 'phyan pa|+\n1. in {za zi'i 'khor lor 'phyan bzhin par} SANST (Yig. 122). 2. acc. to Jä. = {yan pa} to ramble, to range, roam about, wander, stray from; {'phyan te 'gro ba} to go wandering about.
195 rdo rje slob dpon|SANST; {sngags pa'i mkhan po} (Rtsii.) professor of the Mantra section in a monastery of the Tantrik school; also the lama of a monastery who is in charge of the Tantrik ritual.
195 ri bo gangs can|the Himavat (Himalaya) mountains.\n\nSyn. {kha ba'i lhun po}; {gangs ri dbang}; {dka' bzlog bla ma}; {me na'i bdag}; {ki la sha}; {ri'i rgyal po}; {bsel ri}; {gangs ldan} (Moon.).
195 rkang rtsa|resp. {zhabs rtsa} general name for shoes in Tsang. In Tibet the sole of a shoe is generally made of a kind of durable grass, hence the name {rkang rtsa}, foot-grass, signifies a shoe.
195 shad pa|or {gshad pa} and {gshod pa} to comb, to curry, (a horse), also {shar rgyag pa}. Also: to brush, to stroke, to rub gently with the hand in W. (Jä.). shad-ma curry-comb, horse-comb (Sch.).
195 sku gshen|the great teacher of the Bon: {'od zer dpag zhes bdag gi pha yag gzher sku gshen 'brom du gda'} "Hod-zer dpal was my father, I Sku gshen of Yag gsher am called Hbrom" (Hbrom. {kha} 22).
195 snga sha|= {rta sga'i snga ru} straps for binding things to a saddle; {phyi sha} the straps which go round the hind part, and called {sha btags sga'i snga sha la nad rkyal dang} (Lhamo bstod-pa).
195 thang ka|or {thang ga} 1. a plain, a flat field, alluvial plain. 2. resp. {zhal thang} a portrait, a painting; {thang sku} or {sku thang} a picture or representation of a deity on cloth or paper.
195 thur mgo|1. the tip of a spoon {thur mgo tsam} about the tip of a spoon, a spoon measure. 2. = {thur mgo} a halter; {thur thag} the rope attached to {thur mgo}; {thur mtha'} the end of that rope.
195 zhal bu|a small cup: {tho rangs gyi dus su skyo tshag bser ma mi skye ba zhal bu do drangs} at dawn they served me with two cups of pap, that air might not be generated (in the stomach) (A. 156).
195 zhar la|1. = 'following, succeeding' (Schtr.). 2. = {zhor la} on the occasion of, in connection with: {glang po blta ba'i zhor la na} SANST on the occasion of inspecting the elephant (A.K. 1-10).
195 zog po|or {zog ma} adj. deceitful, false, dissimulating: {btsun mo zog ma 'di} this deceitful lady; {yab chen zog ma ma bgyid mdzod} my lord do not play the hypocrite (Hbrom. {kha}, 19, 43, 112).
196 bar 'dum|= {bar bsgrig} agreement or treaty between belligerents: {bar 'dum zhig thub re} hoping to be able to bring about an agreement. {bar sdom} SANST [the suppression of the breath or voice]S.
196 bgro gleng pa|= {gros byed pa} to argue, discuss: {khong gi grva pa mkhas shig lha rje la bgro gleng byed du byung ste} one of his learned scholars having come to confer with Lharje (Deb. {ga} 8).
196 bi ra tsa na|‡ SANST 1. n. of the first Dhyani Buddha. 2. a learned lo-tsa-wa who flourished during king {khri srong lde'u btsan}'s reign and who first translated the Hbum from Sanskrit (Yig. 35).
196 bka' btags|+\n= {khrims bsgrags pa} 1. a proclaimed order: {khrims bsgrags pa} is also colloq. called {bkar btags}. 2. SANST one versed in drawing omens; an astrologer ({bka' gtogs pa}) (M.V. 61).
196 bka' gnang ba|vb., to order, command, grant, permit; an order; permission: {nged bod kyi rgyal po'i btsun mo la bka' gnang bar zhu} I beg you will give her as a consort to our King of Tibet (Jä.).
196 bsting tshig|or {bstings tshig} SANST satire, irony; also reflecting upon conduct in polite language; censure concealed under sweet language.\n\nSyn. {'phya tshig}; {tshig gis bstings} (Situ. 75).
196 bya rmyang ba|= {brkyangs shad byed pa} stretching one's self after fatigue, lying prostrate: {seng ge 'di tshang nas byung ste bya rmyang byed} this lion coming out of his den stretches his body.
196 'byong ba|pf. {byang} 1. to be cleansed, purified, v. {byang ba}. 2. to be skilled, well-versed, be full of: {rig byed la 'byor ba} versed in the Vedas; {las ka 'byong po} skilful work (Oag. 5-2).
196 char skyibs|a shelter, pent roof, protection from rain.\n\n(EEE The original gives the transliteration of the headword as "char-skyib", but the headword as shown is the usually accepted spelling.)
196 'dabs|rarely {'dab} the side, lateral surface (chiefly of the body); surface; {mchin 'dabs} the surface of the liver; {sgal 'dabs} the lumbar region; {nags 'dabs na} = {nags na} in the wood (Jä.).
196 dga' ba 'khyil ba|1. SANST the all-good; that exists by itself; the emblem of purity; purity typified. 2. n. of a gem. 3. the king's palace.\n\nSyn. {g.yung drung}; {rgyal po'i pho brang} (Moon.).
196 'dod pa ldan|1. wishing; a lustful person. 2. = {bya ngur pa} (Moon.).\n\n(EEE {bya ngur pa} does not appear as a headword in the dictionary but see under {mtshan mo 'bral} and {shing rta'i lus}.)
196 do lo|or {rdo la}: {do lo bzhu shel sngon mos byas pa} a necklace, a string made of pearls or precious stones (worn hanging down from the neck); an ornament hanging down from the shoulders (Jig.).
196 dum|1. a small plate or vessel: {dum gcig gtor mas bkang ba thogs nas} one plate filled with torma offerings (A. 29). 2. a small quantity, a little, a bit: {dum tsam sdod} wait just a short while.
196 dus tshigs|SANST season. {dus tshigs kun 'gro} = {bya 'jol mo} the jolmo bird (Moon.). {dus tshigs gsar ba} = {dus 'gyur ba} change of time, season; also fresh provision, produce of the year, etc.
196 gdong la ded pa|to push or press forward, to urge on, to haul a culprit before the judge; {snang ba gdong ded pa} to pursue one's course regardless of others (both in good and in bad sense) (Jä.).
196 glad|or {glad pa} SANST the head; brains; cf. {klad}: {glad la} on the top, on the head; also used as postposition in the sense of over, close over: {chu'i glad la} close above the river or water.
196 glag pa|+\n= {lhag pa} upper or back part or side: {mgo'i ltag pa} the crown or upper part of the head. Defined as {gri dang sta ri'i ltag pa}, the upper back part or blunt side of a knife or axe.
196 gnam lcags|SANST; resp. for {thog} the thunder: {gnam lcags rigs kyis bgegs 'joms smyo byed thub} with a kind of thunder was able to suppress evil spirits.\n\nSyn. {brgya byin mtshon cha} (Moon.).
196 gre'u|+ I: or {dre'u}, a young bear: {co ros gre'u gcig phul bas} Cho-ro having presented a young bear (A. 63).\n\nII: SANST pea, peas; {mon sran gre'u} a kind of pea growing in the Sub-Himalayas.
