ka|1
thags gru bu|567?
thags thogs|567?
thags 'thag pa|567?
thags snal ma|567?
thags spun|567?
thags bran byed pa|567?
thags ra|567?
thags ran|567?
thang|568
thang ka|568?
thang dkar|568?
thang skya|568?
thang khrag|568?
thang khrung|568?
thang khrom|568?
thang chad pa|568?
thang chu|568?
thang chung gtsang po|568?
thang ju|568?
thang thang|568?
thang thung|568?
thang du|568?
thang po|569
thang brang|569?
thang ma me sgron|569?
thang mar|569?
thang tshwa|569?
thang gzhal|569?
thang gzhi|569?
thang la|569?
thang sha gcod pa|569?
thang shing|569?
thang sag|569?
thang lhod|569?
thad|569?
thad ka|569?
thad ka'i 'jig rten gyi khams|569?
thad kar|569?
thad kya|569?
thad dgu|569?
thad du|569?
thad do|570
thad drang|570?
thad drang na|570?
than|570?
than kor|570?
than thun|570?
than pa|570?
than bya|570?
thab|570?
thab ka|570?
thab ka ba|570?
thab khag|570?
thab khang|570?
thab khro|570?
thab sgyid|570?
thab sgrom|570?
thab thab|570?
thab thib|570?
thab bsu|570?
thab lha|570?
thab lha se shar|570?
thabs|571
thabs chag|571?
thabs dang shes rab|571?
thabs rdugs|571?
thabs la mkhas pa|571?
thabs la mkhas pa'i mdo|571?
thabs lam|571?
thabs shes bdag nyid|571?
thabs shes ldan pa|571?
tham ga|572
tham tham|572?
tham pa|572?
tham lag|572?
thams cad|572?
thams cad skyobs|572?
thams cad mkhyen pa|572?
thams cad sgrol|572?
thams cad rtogs|572?
thams cad mthong|572?
thams cad rnam par 'byed|572?
thams cad pa|572?
thams cad tshe|572?
thams cad gzigs|572?
thams cad yod par smra ba'i sde bdun|572?
thams cad las 'das|572?
thams pa|572?
thaMd|572?
tha'i dzi|572?
tha'i shang lo'u kyun|572?
tha'u|572?
thar|573
thar chung pa|573?
thar thabs|573?
thar thor|573?
thar nu|573?
thar pa|573?
thar pa'i blo gros|573?
thar po|573?
thar dpag|573?
thar ba|573?
thar rtse|573?
thar lam|573?
thar legs pa|573?
thar sa|573?
thar song|573?
thal|574
thal ka rdo rje|574?
thal kar|574?
thal 'gyur|574?
thal lcag|574?
thal ches par 'gyur|574?
thal thal|574?
thal thung|574?
thal dres|574?
thal brdab pa|574?
thal phyogs|574?
thal ba|574?
thal ba'i snying po|574?
thal bar 'gyur|574?
thal byi|574?
thal byung 'gro ba|574?
thal ma|574?
thal mo|575
thal tshang|575?
thal tshwa|575?
thal yas|575?
thal la tshal|575?
thal le|575?
thi|575?
thi gu|575?
thi ba|575?
thig|575?
thig skud|575?
thig mkhan|575?
thig nag|575?
thig pa|575?
thig 'bum|575?
thig ma|575?
thig tsam|575?
thig tshad|575?
thig le|576
thig le mchog ma|576?
thig le'i lus|576?
thig shing|576?
thigs pa|576?
thing|576?
thing gi|576?
thing shing|576?
thid yug|576?
thib pa|576?
thibs po|576?
thibs mo|576?
thim thim|577
thim pa|577?
thil chung|577?
thil ston|577?
thu|577?
thu pa|577?
thu ba|577?
thu bo|577?
thu med al than rgyal po|577?
thu mo|577?
thu re|577?
thu lu|577?
thu lum|577?
thug|577?
thug sgra|577?
thug rnga|577?
thug chad|577?
thug pa|577?
thug pa med par 'gyur|577?
thug yas|577?
thugs|578
thugs dkar ba|578?
thugs bskyed|578?
thugs mkhyen|578?
thugs 'khur che bzhes|578?
thugs 'khrugs|578?
thugs dgongs|578?
thugs rgyal|578?
thugs ngan|578?
thugs ngal ba|578?
thugs rje|579
thugs rje chen po|579?
thugs rje byams ma|579?
thugs rje 'dzin pa|579?
thugs rje'i lha|579?
thugs nyid|579?
thugs gtong ba|579?
thugs thub|579?
thugs dam|579?
thugs bde|579?
thugs 'dun|579?
thugs nang gshin pa|579?
thugs spro ba|579?
thugs mug|579?
thugs brtse ba|579?
thugs su 'gro ba|579?
thugs sras|579?
thung nga|580
thung ba|580?
thud|580?
thud thud|580?
thud shor ba|580?
thun|580?
thun ngang ma mo|581
thun pa|581?
thun ma|581?
thun mong|581?
thun mong ba|581?
thun mong bud med|581?
thun mong ma yin pa'i chos|581?
thun mong sa|581?
thun tshegs|581?
thun mtshams rtogs|581?
thun mtshams stobs|581?
thun mtshon|581?
thun bzhi pa|581?
thun bzhi'i rnal 'byor|581?
thun bzung ba|581?
thun rva|581?
thun rwa|581?
thun gsum pa|581?
thub|582
thub chod|582?
thub chod can|582?
thub bstan|582?
thub pa|582?
thub pa che|582?
thub pa nyid|582?
thub pa drug|582?
thub pa rab mchog|582?
thub pa sangs rgyas|582?
thub pa'i gnas|582?
thub pa'i bu|582?
thub pa'i dbang po|582?
thub dbang gsung skyes|582?
thum|582?
thum ti|582?
thum pa|583
thum bu|583?
thums|583?
thur|583?
thur mgo|583?
thur po|583?
thur bu|583?
thur ma|583?
thur zho|583?
thur shing|583?
thur sel|583?
thur srang|583?
thul|583?
thul gyis|583?
thul pa|583?
thul ba|583?
thul lu|583?
thul le|583?
thus pa|584
the|584?
the khyim|584?
the chung|584?
the rtog|584?
the pa|584?
the ba|584?
the bo|584?
the mo|584?
the tshom|584?
the tshom med|584?
the tshom za ba|584?
the 'an|584?
the rang|584?
the rang mig gcig pa'i rgyal khams|584?
the re|584?
the rel|585
the le|585?
the le le|585?
the se|585?
theg chen thugs rje sems dpa'|585?
theg mchog gling|585?
theg pa|586
theg pa gsum|586?
theg pa'i stobs|586?
theng kwan|586?
theng po|587
thengs|587?
then|587?
then pa|587?
then med|587?
theb|587?
theb mo|587?
thebs|587?
thebs pa|587?
thebs rang|588
them deb|588?
them pa|588?
them bu|588?
them rtsa|588?
them tshangs|588?
thems yig|588?
the'u rang|588?
ther|588?
ther 'bum|588?
ther ma|588?
ther zug|588?
thel ba|588?
thel ma|588?
thel tshe|588?
thes pa|588?
tho|588?
tho 'khor|588?
tho gar|589
tho co|589?
tho tho|589?
tho tho ri gnyan btsan|589?
tho rdo|589?
tho phyi|589?
tho ba|589?
tho btsams pa|589?
tho 'tsham pa|589?
tho yor|589?
tho rangs|589?
tho ri snyan shal|589?
tho re ba|589?
tho lum|590
tho le|590?
tho log|590?
tho sho legs|590?
tho hun|590?
thog|590?
thog grangs pa|590?
thog rgyag|590?
thog lcags|590?
thog thag|591
thog mtha' bar|591?
thog ma|592
thog ma skyes|592?
thog ma dang mtha' ma med pa'i stong pa nyid|592?
thog ma'i mgon po|592?
thog ma'i byed pa|592?
thog ma'i lo ma|592?
thog mar|592?
thog tsha dpa' bo|592?
thog tshad|592?
thog ri 'joms|592?
thogs|592?
thogs pa|592?
thogs pa med|592?
thong|592?
thong ka|593
thong khor|593?
thong pa|593?
thong spu|593?
thong gshol|593?
thongs 'dzin|593?
thod|593?
thod rgal|593?
thod thod|593?
thod pa|593?
thod mo khor|593?
thod le kor|593?
thod le dkar|593?
thon|593?
thon ka|594
thob|594?
thob kha ma|594?
thob ga|594?
thob rgyal|594?
thob rgyu|594?
thob cha|594?
thob chu|594?
thob 'dod|594?
thob pa|594?
thob tshir|594?
thob yig|594?
thob lo|594?
thob sha|594?
thob srol|594?
thom bu|595
thoms pa|595?
tho'u kvan|595?
tho'u kwan|595?
thor|595?
thor khod|595?
thor to|595?
thor pa|595?
thor ba|595?
thor bu|595?
thor mo|595?
thor gtsug|595?
thor tshugs|595?
thor re ba|595?
thol ba|595?
thos|596
thos grol|596?
thos sgrogs|596?
thos chung|596?
thos rtul|596?
thos ldan|596?
thos ldan dbang|596?
thos pa|596?
thos pa dga'|596?
thos pa legs|596?
thos 'dzin|596?
thos lo|596?
mthang|596?
mthangs|596?
mtha'|596?
mtha' klas|596?
mtha' skor|596?
mtha' khob|596?
mtha' gebs pa|596?
mtha' gru|596?
mtha' grogs|596?
mtha' ngos|596?
mtha' can|596?
mtha' gcig tu|597
mtha' gcod pa|597?
mtha' lcags|597?
mtha' chags|597?
mtha' nyi|597?
mtha' gnyis|597?
mtha' dag|597?
mtha' dag min|597?
mtha' dam|597?
mtha' brdul|597?
mtha' ber|597?
mtha' bral|597?
mtha' 'byams|597?
mtha' ma|598
mtha' mi|598?
mtha' btsan pa|598?
mtha' bzhi|598?
mtha' bzhir rgyas pa|598?
mtha' yas|598?
mtha' yas ma|598?
mtha' yas rtsa|598?
mtha' ras|598?
mtha' las 'das pa stong pa nyid|598?
mtha' gsal|598?
mtha' gseb|598?
mthar|598?
mthar skyel ba|598?
mthar gyis|598?
mthar gyis gnas pa'i snyoms par 'jug pa dgu|598?
mthar thug pa|598?
mthas klas|598?
mthas gtugs pa|598?
mthing|599
mthing skya|599?
mthing zhun|599?
mthing shing|599?
mthi'u|599?
mthil|599?
mthu|600
mthu bsgyings|600?
mthu ba|600?
mthu mo che|600?
mthu rtsal|600?
mthu yod pa|600?
mthug pa|600?
mthung byed|600?
mthud pa|600?
mthud med|600?
mthun can|600?
mthun 'jug pa|600?
mthun pa|600?
mthun pa'i rkyen|600?
mthun pa'i grogs|600?
mthun pa'i dngos grub|600?
mthun pa'i yul du gnas pa|600?
mthun pa'i rlung|600?
mthun par rtse ba|601
mthun phyogs|601?
mthun sbyor|601?
mthun mong pa|601?
mthun rtsis|601?
mthur|601?
mthus|602
mthe chung|602?
mthe bo|602?
mthe bong|602?
mtheb kyu|602?
mthe'u|602?
mtho|602?
mtho gong|602?
mtho rgyab pa|602?
mtho ngag|602?
mtho spyod|602?
mtho ba|602?
mtho bar brtsegs pa|602?
mtho bar sems pa|602?
mtho dman|602?
mtho mtshams|602?
mtho ris|603
mtho ris kyi mtsho|603?
mtho ris kyi yon tan bdun|603?
mtho ris klung|603?
mtho ris dge ba|603?
mtho ris thob|603?
mtho ris rnams|603?
mtho ris sman pa|603?
mthong kha|603?
mthong dug|603?
mthong na dga'|603?
mthong phul chung ba|603?
mthong phyogs|603?
mthong ba|603?
mthong ba don ldan|603?
mthong ba bla na med pa|603?
mthong ba med pa|603?
mthong ba'i chos|603?
mthong bas spang bya|603?
mthong byed|603?
mthong tshor|603?
mthong lam|603?
mthong lugs|603?
mthongs|604
mthongs pa|604?
mthon ka|605
mthon te|605?
mthon mthing|605?
mthon po|605?
mthon po'i lha|605?
mthor 'thung|605?
mthol ba|605?
mthol tshangs|605?
mthos|605?
'thag|605?
'thag pa|605?
'thang gos|605?
'thang po|605?
'thang sprad pa|605?
'thad|605?
'thad pa|606
'thad legs|606?
'than|606?
'than po|606?
'thab pa|606?
'thab bral|606?
'thab 'bu|606?
'thab ya|606?
'thab rags|606?
'tham pa|606?
'thams pa|606?
'thal ba|606?
'thas pa|606?
'thig pa|606?
'thing slad|607
'thibs pa|607?
'thibs po|607?
'thim pa|607?
'thu ba|607?
'thug pa|607?
'thung ba|607?
'thung byed|607?
'thud pa|607?
'thud ma|607?
'thun pa|607?
'thub pa|607?
'thum pa|607?
'thums|608
'thur|608?
'thul ba|608?
'thegs pa|608?
'theng|608?
'then pa|608?
'theb|608?
'thebs pa|608?
'thems pa|608?
'ther po|609
'tho|609?
'thog pa|609?
'thon pa|609?
'thon mi 'bring po rgyal|609?
'thob pa|609?
'thom pa|609?
'thom yor|609?
'thor mtho|609?
'thor 'thung|609?
'thor ba|609?
'thor byed|609?
'thol|609?
da|610
da ko sha|610?
da kha|610?
da khri btsan po|610?
da sgos|610?
da ci|610?
da cha|610?
da chu|610?
da nyid|610?
da trig|610?
da lta|610?
da lta ba|610?
da ste|610?
da dung|610?
da drag|610?
da dru 'joms|610?
da gdod|610?
da nang|610?
da nu ka ri|610?
da phrug|612
da ber|612?
da byid|612?
da tsug|612?
da gzod|612?
da 'u|612?
da 'ur|611
da ra|611?
da ra da|611?
da rangs|611?
da ran|611?
da re|611?
da lam|611?
da lis|611?
dag|611?
dag kha|611?
dag ga dog ge|611?
dag gu|611?
dag 'grel|611?
dag ci|611?
dag brjod|611?
dag pa|611?
dag pa nyid|611?
dag pa rig pa|611?
dag pa gsum|611?
dag pa'i dkyil 'khor|611?
dag pa'i khams|611?
dag pa'i zhing|611?
dag byed|613
dag sbyor|613?
dag yig|613?
dag ra|613?
dag las g.yo|613?
dag shing|613?
dang|615
dang ga|615?
dang du blang ba|615?
dang po|616
dang po'i bdag|616?
dang po'i rdul can|616?
dang ba|616?
dang tse|616?
dang zas ma za|616?
dang ra|616?
dang la|616?
dad gus ldan|616?
dad dam 'pho med kyi 'dun pa|616?
dad 'dun|616?
dad pa|617
dad pa gsum|617?
dad pa'i rjes su 'brang ba|617?
dan gong|618
dan nyeg|618?
dan ta|618?
dan thu li ka|618?
dan da|618?
dan da li|618?
dan 'dra|618?
dan bag|618?
dan rog|618?
dva ba|618?
dvags stod|618?
dvags po|618?
dvangs|618?
dvangs ma|618?
dam|618?
dam kha|618?
dam can rdo rje legs pa|618?
dam bca'|618?
dam bcas pa|618?
dam chen chos rgyal|618?
dam dum|619
dam pa|619?
dam pa tog dkar|619?
dam pa mi ldan|619?
dam pa'i grib bsil dang ldan pa|619?
dam pa'i chos|619?
dam pa'i gzugs brnyan|619?
dam po|619?
dam phrug|619?
dam 'byar|619?
dam tshig|619?
dam rdzas|619?
dam srag rdzong|619?
dam sri|619?
da'u|619?
dar|621
dar gyi 'bu|621?
dar rgyas gling|621?
dar sga|621?
dar gcig|621?
dar lcog|621?
dar btags pa|621?
dar dir|621?
dar dhi|621?
dar rdo|621?
dar po|621?
dar po che|621?
dar dpyangs|621?
dar ba|621?
dar bab ma|621?
dar babs|621?
dar bu|621?
dar bubs|621?
dar ma|621?
dar ma rin chen|621?
dar ma'i stobs|621?
dar ma'i lus|621?
dar mo|621?
dar dmang pa|621?
dar sman|621?
dar tsam|621?
dar btsag|621?
dar rtse mdo|621?
dar tshil|621?
dar ya kan|622
dar yab|622?
dar la|622?
dar sham|622?
dar shing|622?
dar sang|622?
dar sar byed pa|622?
dar han|622?
dal|622?
dal gyis 'bab pa|622?
dal 'gro|622?
dal 'gros|622?
dal rgyu|622?
dal cig|622?
dal rten|622?
dal thog 'jug pa|622?
dal dag|622?
dal du phangs pa|622?
dal po|622?
dal ba|623
dal ba'i lha ldan ma|623?
dal bar dga' ba|623?
dal bu|623?
dal bon|623?
dal 'bab rnam gzhi|623?
dal 'byor|623?
dal sbyin ma|623?
dal ma|623?
dal mo|624
dal btsong|624?
dal 'dzin|624?
dal yams|624?
di|624?
di ki|624?
di mar|624?
di ri ri|624?
di hi|624?
dig|624?
dig snyan|624?
dig pa|624?
ding|624?
ding khri|624?
ding ding|624?
ding phon|624?
ding 'ur|624?
ding ri|624?
ding sang|624?
ding gsal 'od dpag mu rum spang khyab lam|624?
du|625
du ku la'i ras|625?
du du|625?
du ba|625?
du ba mjug ring|625?
du ba pa|625?
du ba mi zad pa|625?
du ba 'tshubs|625?
du ba'i skye gnas|625?
du ba'i tog|625?
du ma|625?
du zhag|625?
du zhig|625?
du ru|625?
du ru ka|625?
du har nag po|625?
dug|626
dug gi me tog|626?
dug gis byug pa can|626?
dug sngags|626?
dug can|626?
dug bcom|626?
dug chags|626?
dug 'joms|626?
dug 'joms ldan|627
dug gnyen|627?
dug ti|627?
dug pa|627?
dug 'phrog|627?
dug mo nyung|627?
dug mo nyung gi 'bru|627?
dug rtsa|627?
dug rab 'joms|627?
dug rva can|627?
dug rwa can|627?
dug lo|627?
dug shog|627?
dug sel|627?
dugs|627?
dugs pa|627?
dung|627?
dung dkar g.yas 'khyil|627?
dung dkar rag gshog ma|627?
dung skyong|627?
dung mkhan|627?
dung gi ldem shing dkar po|628?
dung nge|628?
dung can ma|628?
dung mchog|628?
dung dung|629
dung mdog can|629?
dung rdo|629?
dung pan|629?
dung phyur|629?
dung 'bras|629?
dung mtsho dkar mo|629?
dung g.yas 'khyil|629?
dung g.yon 'khyil|629?
dung lung|629?
dung lo ljon pa'i mdo|629?
dung sems|629?
dungs pa|629?
dud 'gro|629?
dud pa|629?
dud tshang|629?
dun pa|629?
dub pa|629?
dum|630
dum pa|630?
dum po|630?
dum bu|630?
dum bu gsum|630?
dum brag|630?
dum yang|630?
dur khrod|630?
dur khrod chen po brgyad|630?
dur khrod pa|630?
dur khrod ma|630?
dur rgyas|630?
dur sgam|630?
dur rdo|630?
dur spyang|630?
dur ba|631
dur ba dkar po|631?
dur bas 'chi|631?
dur bon|631?
dur bya|631?
dur byid|631?
dur byed|631?
dur sbyang|631?
dur tshun|631?
dur mtshed|631?
dur yu|631?
dur len|631?
dul|631?
dul gnas|631?
dul ba|631?
dul ba pa|631?
dul ba 'dzin|631?
dul ma|631?
dul mo|631?
dus|632
dus kyi 'khor lo|632?
dus kyi cha shas|632?
dus kyi chos nyid|632?
dus kyi rjes su 'gro ba|633
dus kyi rjes su 'brang ba'i tsan dan|633?
dus kyi bdag po|633?
dus kyi gnas|633?
dus kyi bar|633?
dus kyi byed po|633?
dus kyi dbyid pa|633?
dus kyi me tog|633?
dus kyi brtsi tshul|633?
dus kyi tshigs|633?
dus skabs|633?
dus skyes|633?
dus 'khor|633?
dus 'gyur|633?
dus can|633?
dus gcig skyes pa'i ma bu|633?
dus chad pa med pa|633?
dus chen dge ba 'bum 'gyur|633?
dus mchod|634
dus btab pa|634?
dus ston|634?
dus mtha'i rlung|634?
dus dang mi sbyor bar rnam par grol ba|634?
dus dus su|634?
dus 'das|634?
dus ldan|634?
dus ldan ma|634?
dus rnam pa kun|634?
dus babs|634?
dus sbyor|634?
dus ma yin par za ba|634?
dus me|634?
dus tshigs|634?
dus tshod|634?
dus tshod nyes pa|635
dus mtshan|635?
dus mtshams|635?
dus bzhi|635?
dus bzhi'i phang lo|635?
dus bzhi'i lha mo|635?
dus zing|635?
dus yol ba|635?
dus ring po|635?
dus rlabs|635?
dus la dga' ba|635?
dus log|635?
dus shes pa|635?
dus su skye ba|635?
dus su thob pa|635?
dus su 'os pa|635?
dus su rung ba|635?
dus gsum|635?
de|636
de ka|636?
de kha|636?
de khul|636?
de kho na|636?
de ga|636?
de ci'i phyir zhe na|636?
de nyid|636?
de snyed|636?
de lta|636?
de ltar|636?
de thad|636?
de dang|636?
de dus|636?
de de|637
de don|637?
de 'dra|637?
de ldan|637?
de na|637?
de nas 'di skad|637?
de ni|637?
de pa|637?
de po|637?
de pho|637?
de 'phral|637?
de 'phros|637?
de ba|637?
de bas|637?
de bi ko Ta|637?
de ma|637?
de mo|637?
de tsam|637?
de tso|637?
de mtshungs|637?
de 'dzin|637?
de bzhin nyid|637?
de bzhin gshegs pa|637?
de zug|637?
de 'og|637?
de yang|637?
de yan|637?
de rag|637?
de rang|637?
de ring|637?
de ru|637?
de las|637?
de sho|637?
de srid|637?
deng|637?
deng sang|637?
dengs pa|638
ded 'dren|638?
ded pa|638?
ded dpon|638?
deb|638?
deb ther sngon po|638?
deb pa|638?
dem tsi|638?
de'i chos can|638?
de'i rjes su phyogs pa|638?
de'i mod la|638?
de'u|639
de'u ra|639?
der|639?
des|639?
des pa|639?
do|639?
do ker|640
do gar kha|640?
do gal|640?
do chod|640?
do dam|640?
do po|640?
do phrug|640?
do ba rdzong|640?
do ba'i tog ma|640?
do bo|640?
do mod|640?
do zhag|640?
do zla|640?
do ra|640?
do lo|640?
do log|640?
do shal|640?
dog|641
dog pa|641?
dog ma|641?
dog le|641?
dogs pa|641?
dong|641?
dong kha|641?
dong ga|641?
dong ste|641?
dong pa|641?
dong po|641?
dong ba|641?
dong mo|641?
dong tse|642
dong ze|642?
dod|642?
dod pa|642?
don|643
don kun|643?
don gyi khog phub pa|643?
don gyi spyi|643?
don grub|643?
don 'gal|643?
don lnga|643?
don can|643?
don gcod|643?
don nyams pa|643?
don gnyis|644
don gnyer|644?
don snying|644?
don rtogs pa|644?
don stong gi tshig|644?
don stong pa|644?
don mthun|644?
don dag|644?
don dam|644?
don dam pa|644?
don du|644?
don 'dod pa|644?
don ldan|644?
don rnam pa gsum|644?
don pa|644?
don med|644?
don med gtam|644?
don med bzhin du|644?
don rtsa|644?
don zhags|644?
don bzang ye shes snying po'i rgyud|644?
don yod grub pa|644?
dob dob|645
dom|645?
dor|645?
dor ba|645?
dor byed ma|645?
dor ma|646
dol|646?
dol bon|646?
dos|646?
dos che|646?
dos drag|646?
dos drag pa|646?
dos pa|646?
dra|646?
dra ci|646?
dra phyed|646?
dra ba|646?
dra ba 'khrol ba|646?
dra ba can|646?
dra ba dra phyed|646?
dra ba 'dzin|646?
dra ma|647
dra ma sprul pa'i gling|647?
dra mig|647?
drag|647?
drag gis|647?
drag sngags 'dus pa rdo rje rtsa ba'i rgyud|647?
drag can|647?
drag char|647?
drag tu|647?
drag sdebs|647?
drag nad|647?
drag pa|647?
drag pa'i chos pa|648
drag pa'i thod|648?
drag po|648?
drag po'i mig|648?
drag po'i gtsug rgyan|648?
drag po'i shugs 'gro|648?
drag mo|648?
drag rtsal can|648?
drag tshang chong can|648?
drag zhan|648?
drag shul|648?
drag gshed|648?
drag gsum|648?
drags|648?
drang|649
drang don|649?
drang por|649?
drang ba|649?
drang srong|649?
drang srong bdun|649?
drang srong lhung ba|649?
drangs|650
dran mchog rje|650?
dran nyams pa|650?
dran tho|650?
dran dri|650?
dran pa|650?
dran pa bcu|650?
dran pa 'joms|650?
dran pa nye bar bzhag pa bzhi|650?
dran pa'i ka ba|650?
dran pa'i khron pa|650?
dran pa'i dbang po|650?
dran pa'i gzugs|650?
dran pa'i shing rta|650?
dran po|650?
dran ma|650?
dran sha|651
dran sems|651?
dral|651?
dral po|651?
dral ba|651?
dral tse|651?
dras|651?
dri|651?
dri skye ma|651?
dri 'khor|651?
dri mgyogs|651?
dri ngad|651?
dri nga'i 'dab chags|652
dri lnga|652?
dri can lte ba|652?
dri chab|652?
dri chu|652?
dri chu gsil ba|652?
dri chen|652?
dri mchog|652?
dri mnyam pa|652?
dri btul|652?
dri dang 'phreng bas mchod pa|652?
dri ldan|652?
dri ldan ma|652?
dri snom pa|652?
dri phog|652?
dri ba|654
dri bo|654?
dri bral|654?
dri blang ba|654?
dri ma|654?
dri ma drug|654?
dri ma ldan ma|653
dri ma 'phyi ba'i ma ma|653?
dri ma mi mnga'|653?
dri ma med pa|653?
dri ma med pa'i dris lan rin po che'i phreng ba|653?
dri ma gsum|653?
dri mas nogs pa|653?
dri gtsang khang|653?
dri brtsung|653?
dri 'dzin skyes|653?
dri zhib dkar|653?
dri zhim pa|653?
dri zhim byas|653?
dri zhon|653?
dri za|653?
dri za'i grong khyer|653?
dri za'i glu dbyangs|653?
dri bzang skyes|653?
dri bzang khang pa|653?
dri bzang dbang po|653?
dri la 'khor|653?
dring|653?
drin|653?
drin che ba|653?
drin gzo ba|653?
drin lan|653?
drin log pa|653?
drib shil|653?
drim|653?
dri'i bcud|653?
dri'i sras po|653?
dri'u|653?
dril|655
dril khang|655?
dril ba|655?
dril bu|655?
dris pa|655?
dris pa gtan la phab|655?
dris pa'i tho|655?
dris ma|655?
dris lan|655?
dru gu|655?
dru bu|655?
drug|655?
drug mdo|655?
drug sde|655?
drung|655?
drung grags pa|655?
drung drag|655?
drung na mo|655?
drung nam mkha' bzang po|655?
drung pa|656
drung po|656?
drung 'tsho ba|656?
drung yig pa|656?
drungs|656?
drungs pa|656?
drud|656?
drub pa|656?
drum pa|656?
drus ma|656?
dre|656?
dre bo|656?
dreg pa|656?
dregs|656?
dregs byed|656?
dred|657
dred po|657?
dred mo|657?
dre'u|657?
dre'u rngog|657?
drel|657?
dres ma|657?
dro|657?
dro 'jam|657?
dro dod|657?
dro ba|657?
dro ba rnon po|657?
dro lug|657?
drogs|658
drong|658?
drong ma|658?
drod|658?
drod nyul|658?
drod phebs dus|658?
drod sman|658?
drod 'ongs|658?
drod rig pa|658?
drod gsher|658?
dron po|658?
dron ma|658?
drol|658?
dros|658?
dros pa|658?
gdag|658?
gdang|658?
gdang ba|658?
gdang yas|658?
gdangs|659
gdangs pa|659?
gdan|659?
gdan pa|659?
gdan rabs|659?
gdan sa|659?
gdab pa|659?
gdab yas|659?
gdam ka|659?
gdam ngag|659?
gdams pa|659?
gda' gung|659?
gda' ba|660
gdal ba|660?
gdas pa|660?
gding ba|660?
gdu ba|660?
gdu bu|660?
gdug pa|660?
gdugs|660?
gdugs dkar|660?
gdugs khebs|660?
gdung|660?
gdung skyob|660?
gdung rten|660?
gdung ldan|660?
gdung ba|661
gdung byed|661?
gdung byed ma|661?
gdung ma|661?
gdub pa|661?
gdub bu|661?
gdum po|661?
gdul ba|661?
gdeg|661?
gdeng|662
gdeng ba|662?
gdengs ka|662?
gdengs can dbang|662?
gdengs can lha mo|662?
gdong|662?
gdong lnga pa|662?
gdong chung|662?
gdong chen can|662?
gdong drug|662?
gdong yig|662?
gdong ring|662?
gdong la|662?
gdong la ded pa|662?
gdod|663
gdon|663?
gdol pa|663?
gdos|663?
gdos pa|663?
gdos pa 'dzin pa|663?
gdos bu|663?
gdos med|663?
bdag|664
bdag rkyen|664?
bdag skyes|664?
bdag gi ba med pa|664?
bdag gir byas pa|664?
bdag rgyud|664?
bdag chen rin po che|664?
bdag nyid|664?
bdag nyid sgrog|665
bdag nyid che|665?
bdag nyid chen po|665?
bdag po|665?
bdag med|665?
bdag mo chen mo|665?
bdag 'dzin|665?
bdag bzung|665?
bdag las byung|665?
bdag srung|665?
bda' ba|665?
bdar|665?
bdar ba|666
bdas|666?
bdug pa|666?
bdug shing|666?
bdung ba|666?
bdud|666?
bdud kyi bdag|667
bdud kyi sde|667?
bdud kyi bu|667?
bdud kyi bu mo|667?
bdud rgyal|667?
bdud sdig can|667?
bdud nag 'bar ba|667?
bdud rtsi|667?
bdud rtsi skyes|667?
bdud rtsi gangs sham|667?
bdud rtsi char ldan|667?
bdud rtsi snying po|667?
bdud rtsi thab sbyor|667?
bdud rtsi bum pa ma|667?
bdud rtsi dmar po|667?
bdud rtsi smug po|667?
bdud rtsi 'dzag|667?
bdud rtsi za|667?
bdud rtsi'i 'od|667?
bdud la skyengs pa ster mdzad ma|667?
bdun|668
bdun ldan|668?
bdun pa|668?
bdun po|668?
bdun phrag|668?
bdun btsas|668?
bde|668?
bde skyid|669
bde 'gro|669?
bde can|669?
bde chen|669?
bde mchog|669?
bde 'jags|669?
bde brjod|669?
bde stong|669?
bde thabs|669?
bde 'thung|669?
bde ldan|669?
bde ldan dbang phyug|670
bde ldan 'bras 'byung|670?
bde spyod|670?
bde ba can|670?
bde bar 'thab|670?
bde bar 'byar pa|670?
bde bar gshegs pa|670?
bde bar gshegs pa'i dbang po|670?
bde byed|670?
bde byed tshogs|670?
bde byed gzhi thogs|670?
bde byed sras|670?
bde blag|670?
bde 'byung|670?
bde 'byung dal ba'i tshogs|670?
bde gzar|670?
bde legs|670?
bde legs can|670?
bde legs brjod pa|670?
bde shes|670?
bde gshegs|670?
bde sogs bdag|670?
bden pa|671
bden pa nyid|671?
bden pa gnyis|671?
bden pa mthong ba|671?
bden pa smra ba|671?
bden pa bzhi|671?
bden pa'i khrims|671?
bden pa'i ngag|671?
bden par 'dzin pa|671?
bden po|671?
bden bral|671?
bden smra|671?
bden tshig|671?
bder|671?
bdo ba|672
bdog pa|672?
mdag pa|672?
mdang|672?
mdang ba|672?
mdangs|672?
mdangs 'phrog pa|672?
mdangs med|672?
mdangs bzang|672?
mdan khang|672?
mda'|672?
mda' khung|672?
mda' mkhan|672?
mda' grong|673
mda' rgyang|673?
mda' rgyal|673?
mda' rgyug|673?
mda' rgyud|673?
mda' sgro|673?
mda' lnga|673?
mda' lnga pa|673?
mda' che|673?
mda' 'joms|673?
mda' stong|673?
mda' bstan|673?
mda' dar|673?
mda' dong|673?
mda' gnam rgyud du 'phangs pa|673?
mda' dpon|673?
mda' lpags|673?
mda' phu|673?
mda' phyed byas pa|673?
mda' mo|673?
mda' mo che|673?
mda' zo|673?
mda' yab|673?
mda' yig|673?
mdung|674
mdung khyim|674?
mdung can ma|674?
mdung thung 'dzin|674?
mdung thogs|674?
mdung dar|674?
mdung rtse|674?
